"price_level","vegan_options","awards","gluten_free","cuisines","original_location","open_days_per_week","avg_rating","total_reviews_count","food","service","atmosphere","excellent","meals"
"medium","Y","Certificate of Excellence 2017","Y","European","Maresme",6,4,520,4.5,3.5,3.5,11,"NoAnswer"
"medium","N","Certificate of Excellence 2020","Y","European","Maresme",6,4.5,197,4.5,4,4.5,10,"LunchDinner"
"medium","N","Certificate of Excellence 2020","Y","European","Maresme",1,4.5,138,4,4.5,4,3,"NoAnswer"
"medium","N","Certificate of Excellence 2019","Y","European","Maresme",NA,3.5,158,3.5,3.5,3.5,7,"LunchDinner"
"medium","N","Certificate of Excellence 2020","Y","European","Maresme",6,4.5,250,4.5,4.5,4,8,"NoAnswer"
"medium","Y","Certificate of Excellence 2020","Y","European","Maresme",7,4.5,213,4.5,4.5,4,13,"NoAnswer"
"high","Y","Not Awarded","Y","European","Barcelonès",5,4.5,622,4.5,4.5,4,31,"NoAnswer"
"medium","N","Not Awarded","N","European","Barcelonès",6,3.5,206,4,4,3,38,"AllMeals"
"medium","Y","Not Awarded","Y","European","Barcelonès",5,4.5,133,4.5,4,4,1,"NoAnswer"
"medium","Y","Certificate of Excellence 2019","Y","European","Barcelonès",6,4,262,4.5,4.5,4,7,"NoAnswer"
"medium","N","Certificate of Excellence 2018","N","European","Barcelonès",6,4.5,115,4.5,4.5,4.5,2,"NoAnswer"
"medium","N","Certificate of Excellence 2018","N","European","Barcelonès",6,4,110,4,4.5,4,1,"LunchDinner"
"medium","N","Certificate of Excellence 2017","N","European","Barcelonès",7,4,127,4,4,4,0,"LunchDinner"
"medium","Y","Certificate of Excellence 2018","N","Asian","Barcelonès",6,4,156,4,4,4,1,"NoAnswer"
"medium","N","Certificate of Excellence 2020","N","European","Barcelonès",6,4.5,312,4.5,4.5,4.5,1,"LunchDinner"
"medium","N","Certificate of Excellence 2019","N","European","Barcelonès",7,4,155,4,4,4.5,0,"LunchDinner"
"medium","N","Certificate of Excellence 2017","N","European","Barcelonès",6,4,132,4,3.5,4,2,"LunchDinner"
"medium","N","Not Awarded","N","European","Barcelonès",6,3.5,272,4,4,3.5,1,"LunchDinner"
"medium","N","Certificate of Excellence 2020","N","American","Barcelonès",6,5,190,5,5,5,4,"LunchDinner"
"low","N","Certificate of Excellence 2020","N","European","Barcelonès",6,4.5,201,4.5,4.5,4,2,"AllMeals"
"medium","Y","Certificate of Excellence 2019","N","American","Barcelonès",6,4.5,129,4.5,4.5,4,92,"LunchDinner"
"low","N","Certificate of Excellence 2020","N","Others","Barcelonès",6,5,116,4.5,4.5,4.5,1,"Others"
"medium","Y","Certificate of Excellence 2017","N","European","Bages",5,4,196,4,4,4,8,"AllMeals"
"medium","Y","Certificate of Excellence 2020","Y","European","Bages",5,4.5,396,4.5,4.5,4.5,52,"NoAnswer"
"medium","Y","Certificate of Excellence 2020","Y","European","Bages",6,4,233,4,4.5,4,8,"NoAnswer"
