price_level,vegan_options,gluten_free,open_days_per_week,avg_rating,total_reviews_count,food,service,atmosphere,excellent,location,awards,cuisine,top_tag
€€-€€€,Y,Y,6.0,4.5,184,4.5,5.0,,47,Barcelona,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018",Healthy,Mid-range
€€-€€€,Y,Y,6.0,5.0,132,5.0,5.0,,31,Barcelona,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019",Asian,Mid-range
€€-€€€,Y,Y,7.0,4.5,131,4.5,4.5,,31,Barcelona,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018",International,Mid-range
€€€€,Y,Y,6.0,4.5,2531,4.5,4.5,4.5,1418,Barcelona,"Travellers' Choice, Michelin 2021 for The Michelin Plate: Good cooking, Michelin 2021 for Simple restaurant",Mediterranean,Fine Dining
€€-€€€,N,N,7.0,3.0,402,2.5,3.0,3.0,34,Barcelona,,Seafood,Mid-range
€€-€€€,Y,Y,6.0,4.0,202,4.0,4.0,4.0,37,Barcelona,"Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2015, Certificate of Excellence 2013",Asian,Mid-range
€€-€€€,Y,Y,3.0,4.5,1018,4.5,4.5,,320,Barcelona,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018",Seafood,Mid-range
€€-€€€,Y,Y,7.0,4.5,538,4.5,4.5,,82,Barcelona,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019",Seafood,Mid-range
€€-€€€,Y,N,7.0,4.5,125,4.5,5.0,,30,Barcelona,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018",Italian,Mid-range
€€-€€€,N,N,6.0,4.0,462,4.5,4.0,,108,Barcelona,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2018",Bar,Mid-range
€,Y,Y,6.0,4.5,236,4.5,4.5,,74,Barcelona,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018",Fast food,Cheap Eats
€€-€€€,Y,Y,7.0,3.5,176,4.0,3.5,,10,Barcelona,,Mediterranean,Mid-range
€€-€€€,Y,Y,7.0,4.5,1677,3.5,4.0,,365,Barcelona,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2018",Italian,Mid-range
€€-€€€,Y,Y,7.0,5.0,501,4.5,5.0,,61,Barcelona,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018",Mediterranean,Mid-range
€€-€€€,Y,Y,6.0,4.5,205,4.5,4.0,,65,Barcelona,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018",European,Mid-range
€€-€€€,N,Y,7.0,4.0,110,4.5,4.5,,1,Barcelona,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2018",Mediterranean,Mid-range
€€-€€€,N,N,7.0,4.5,912,3.0,3.5,,332,Barcelona,"Travellers' Choice, Certificate of Excellence 2020",Steakhouse,Mid-range
€€-€€€,N,N,,2.5,373,2.5,2.5,2.5,27,Barcelona,,Seafood,Mid-range
€,Y,Y,6.0,4.0,126,4.5,4.0,,11,Barcelona,Certificate of Excellence 2018,International,Cheap Eats
€€-€€€,N,N,7.0,3.5,339,,,,53,Barcelona,,,Mid-range
€€-€€€,Y,Y,7.0,4.0,206,4.0,4.0,,22,Barcelona,,Mediterranean,Mid-range
