"price_level";"vegan_options";"awards";"gluten_free";"cuisines";"original_location";"open_days_per_week";"avg_rating";"total_reviews_count";"food";"service";"atmosphere";"excellent";"meals"
"€€-€€€";"Y";"Certificate of Excellence 2019";"N";"Spanish";"[\"Europe\", \"Spain\", \"Catalonia\", \"Province of Barcelona\", \"Vic\"]";6;4;175;4.5;4.5;4;3;""
"€€-€€€";"N";"Certificate of Excellence 2017";"Y";"European, Spanish, Mediterranean";"[\"Europe\", \"Spain\", \"Catalonia\", \"Province of Barcelona\", \"Vic\"]";6;4;180;4;4;4;9;"Lunch, Dinner, After-hours"
"€€-€€€";"N";"Certificate of Excellence 2020";"Y";"Seafood, Mediterranean, European, Spanish";"[\"Europe\", \"Spain\", \"Catalonia\", \"Province of Barcelona\", \"Vic\"]";6;4;218;4.5;4;4;12;"Lunch, Dinner, After-hours"
"€€-€€€";"N";"Not Awarded";"N";"Italian, Pizza, Mediterranean, European";"[\"Europe\", \"Spain\", \"Catalonia\", \"Province of Barcelona\", \"Vic\"]";7;3.5;107;3.5;3.5;3.5;6;"Lunch, Dinner"
"€€-€€€";"Y";"Certificate of Excellence 2020";"Y";"Mediterranean, European, Spanish, Catalan";"[\"Europe\", \"Spain\", \"Catalonia\", \"Province of Barcelona\", \"Vic\"]";6;4;319;4.5;4;4.5;21;""
"€€-€€€";"N";"Certificate of Excellence 2019";"Y";"Steakhouse, Mediterranean, Spanish, Catalan, European";"[\"Europe\", \"Spain\", \"Catalonia\", \"Province of Barcelona\", \"Vic\"]";6;4;231;4;4;3.5;1;"Lunch, Dinner, After-hours"
"€€-€€€";"N";"Certificate of Excellence 2015";"N";"International, Mediterranean";"[\"Europe\", \"Spain\", \"Catalonia\", \"Province of Barcelona\", \"Vic\"]";7;3.5;174;3.5;3.5;4;1;"Lunch, Dinner"
"€€-€€€";"N";"Not Awarded";"Y";"Mediterranean, Spanish";"[\"Europe\", \"Spain\", \"Catalonia\", \"Province of Barcelona\", \"Vic\"]";NA;3.5;117;3.5;3.5;3.5;1;"Lunch, Breakfast, Dinner"
"€€-€€€";"N";"Not Awarded";"N";"Mediterranean, European, Spanish";"[\"Europe\", \"Spain\", \"Catalonia\", \"Province of Barcelona\", \"Vic\"]";NA;3.5;111;4;3.5;3.5;5;"Lunch, Dinner"
"€€-€€€";"Y";"Certificate of Excellence 2020";"Y";"Mediterranean, European, Spanish, Catalan";"[\"Europe\", \"Spain\", \"Catalonia\", \"Province of Barcelona\", \"Vic\"]";5;4;265;4.5;3.5;4;6;"Lunch, Dinner"
"€€-€€€";"N";"Not Awarded";"N";"Mediterranean, European, Spanish";"[\"Europe\", \"Spain\", \"Catalonia\", \"Province of Barcelona\", \"Vic\"]";7;3;243;3;3;4;1;"Breakfast, Lunch, Dinner"
"€";"Y";"Certificate of Excellence 2018";"N";"Mediterranean, Spanish, European";"[\"Europe\", \"Spain\", \"Catalonia\", \"Province of Barcelona\", \"Vic\"]";7;4;159;4;4.5;4.5;1;"Breakfast, Lunch, Dinner, Brunch, After-hours, Drinks"
"€€-€€€";"Y";"Not Awarded";"N";"Sushi, Japanese, Asian";"[\"Europe\", \"Spain\", \"Catalonia\", \"Province of Barcelona\", \"Vic\"]";7;3.5;226;4;4;4;1;""
"€€-€€€";"Y";"Certificate of Excellence 2019";"Y";"European";"[\"Europe\", \"Spain\", \"Catalonia\", \"Province of Barcelona\", \"Vic\"]";6;4.5;110;4.5;4;4;6;""
"€€-€€€";"Y";"Certificate of Excellence 2018";"N";"Mediterranean, Spanish, European, Fusion";"[\"Europe\", \"Spain\", \"Catalonia\", \"Province of Barcelona\", \"Vic\"]";5;4;103;4;4;4;6;""
"€€-€€€";"N";"Certificate of Excellence 2018";"N";"Mediterranean, Spanish, European";"[\"Europe\", \"Spain\", \"Catalonia\", \"Province of Barcelona\", \"Vic\"]";6;4.5;102;4;4.5;4;1;"Breakfast, Lunch"
"€€-€€€";"Y";"Certificate of Excellence 2020";"Y";"Italian, Pizza, Mediterranean, European";"[\"Europe\", \"Spain\", \"Catalonia\", \"Province of Barcelona\", \"Vic\"]";NA;4.5;257;4.5;4.5;4;10;""
